supply_tech,definition,reference_tech_id,geography,currency,currency_year_id,capacity_or_energy_unit,time_unit,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,source,notes,geography_map_key
Onshore wind power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
offshore wind power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
pulverized coal power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
central hydrogen grid electrolysis,absolute,,us,USD,2007.0,h2_kilogram,day,False,linear_interpolation,nearest,,,,
central solar thermo hydrogen production,absolute,,us,USD,2007.0,h2_kilogram,day,False,linear_interpolation,nearest,,,,
pipeline gas compression and fueling station,absolute,,us,USD,2014.0,US_gge,day,False,linear_interpolation,nearest,,,,
pipeline gas LNG fueling station,absolute,,us,USD,2010.0,lng_gallon,day,False,linear_interpolation,nearest,,,,
purpose-built liquefiers,absolute,,us,USD,2010.0,lng_gallon,day,False,linear_interpolation,nearest,,,,
hydrogen fueling station,absolute,,us,USD,2013.0,h2_kilogram,day,False,linear_interpolation,nearest,,,,Onshore Wind (GWh)
thermal biomass gasifier,absolute,,us,EUR,2009.0,megawatt,,False,linear_interpolation,nearest,,,,
lignocellulosic anaerobic digester,absolute,,us,EUR,2013.0,megawatt,,False,linear_interpolation,nearest,,,42% of total installed costs (digester only),
Fischer-Tropsch bio-diesel plant,absolute,,us,USD,2007.0,US_gge,year,False,linear_interpolation,nearest,,,Includes all capital investment except indirect (assumed to be installation costs),
Fast-pyrolysis bio-diesel plant,absolute,,us,USD,2010.0,US_gde,year,False,linear_interpolation,nearest,,,nth plant capital costs,
Hydrothermal liquefaction and hydrotreating,absolute,,us,USD,2009.0,gigajoule,hour,False,linear_interpolation,nearest,,,based on a plant size of 214 gigajoules-diesel per hour,
Hydroprocessed Renewable Oil  Plant,absolute,,us,USD,2011.0,jet_fuel_gallon,year,False,linear_interpolation,nearest,,,"53, 625 gallons per year of jet fuel",
Industrial Coal Boiler,absolute,,us,EUR,1999.0,gigajoule,year,False,linear_interpolation,nearest,,,,
Industrial Residual Fuel Oil Oil Boiler,absolute,,us,EUR,1999.0,gigajoule,year,False,linear_interpolation,nearest,,,,
Industrial Pulping Liquors Oil Boiler,relative,16.0,,,,,,,,,,,,
Industrial Distillate Fuel Oil Boiler,relative,17.0,,,,,,,,,,,,
Industrial Woody Biomass Boiler,absolute,,us,EUR,1999.0,gigajoule,year,False,linear_interpolation,nearest,,,,
Industrial Pipeline Gas Boiler,absolute,,us,EUR,1999.0,gigajoule,year,False,linear_interpolation,nearest,,,,
Industrial Petroleum Coke Boiler,relative,16.0,,,,,,,,,,,,
Industrial LPG Boiler,relative,21.0,,,,,,,,,,,,
Industrial Other Petroleum Boiler,relative,17.0,,,,,,,,,,,,
nuclear power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
large hydro power plant,absolute,,us,USD,2013.0,kilowatt,,False,linear_interpolation,nearest,,,,
run of river hydro power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas combined cycle power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas combustion turbine power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas steam turbine power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas combined cycle power plant with CCS,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
coal steam turbine power plant with CCS,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
rooftop solar PV power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
distribution-sited solar PV power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
transmission-sited solar PV power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
geothermal power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
biomass power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
solar thermal without energy storage power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
coal IGCC power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
coal IGCC with CCS power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
petroleum coke steam turbine power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
distillate oil combustion turbine power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
distillate oil steam turbine power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
residual oil steam turbine power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
fossil waste steam turbine power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
fuel cell power plant,absolute,,us,USD,2013.0,kilowatt,,False,linear_interpolation,nearest,,,,
landfill gas to electricity power plant,absolute,,us,USD,2013.0,kilowatt,,False,linear_interpolation,nearest,,,,
municipal solid waste power plant,absolute,,us,USD,2012.0,kilowatt,,False,linear_interpolation,nearest,,,,
coal steam turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
petroleum coke steam turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas combined cycle cogen power plant,absolute,,us,USD,2005.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas steam turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
residual oil steam turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
fossil waste steam turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
biomass cogen power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
landfill gas cogen power plant,absolute,,us,USD,2013.0,kilowatt,,False,linear_interpolation,nearest,,,,
municipal solid waste cogen power plant,absolute,,us,USD,2012.0,kilowatt,,False,linear_interpolation,nearest,,,,
solar thermal with energy storage power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas combustion turbine cogen power plant,absolute,,us,USD,2005.0,kilowatt,,False,linear_interpolation,nearest,,,,
distillate oil combustion turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
distllate oil steam turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
residual oil combustion turbine power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
residual oil combustion turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
Corn Ethanol Plant,absolute,,us,USD,2013.0,bee,day,False,linear_interpolation,nearest,,,,
coal steam turbine IPP cogen power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas combined cycle IPP cogen power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas combustion turbine IPP cogen power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
gas steam turbine IPP cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
residual oil combustion turbine IPP cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
distillate oil combustion turbine IPP cogen power plant,absolute,,us,USD,1999.0,kilowatt,,False,linear_interpolation,nearest,,,,
biomass cogen IPP power plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
Advanced Nuclear Plant,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,,
distributed battery storage,absolute,,us,USD,2009.0,kilowatt,,False,linear_interpolation,nearest,,,,
power-to-gas methanation,absolute,,us,EUR,2014.0,megawatt,,False,linear_interpolation,nearest,,,,
gas cogen composite power plant,absolute,,us,USD,2005.0,kilowatt,,False,linear_interpolation,nearest,,,,
Electrode Boiler,absolute,,us,EUR,2014.0,megawatt,,False,linear_interpolation,nearest,,,,
H2 Natural Gas Reformation ,absolute,,us,USD,2007.0,h2_kilogram,day,False,linear_interpolation,nearest,,,,
H2 Natural Gas Reformation w/ccs,absolute,,us,USD,2007.0,h2_kilogram,day,False,linear_interpolation,nearest,,,,
