supply_tech,definition,geography,reference_tech_id,currency,currency_year_id,capacity_or_energy_unit,time_unit,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,source,notes
Onshore wind power plant,absolute,census division,,USD,2005,megawatt,,False,linear_interpolation,nearest,,EPA Markal Renewable Supply Curves,Internal Transmission Cost Adder (Weighted Average Across CF Groups)
offshore wind power plant,absolute,census division,,USD,2005,megawatt,,False,linear_interpolation,nearest,,EPA Markal Renewable Supply Curves,Internal Transmission Cost Adder (Weighted Average Across CF Groups)
pulverized coal power plant,absolute,us,,USD,2009,kilowatt,,False,linear_interpolation,nearest,,,
central hydrogen grid electrolysis,absolute,us,,USD,2005,h2_kilogram,day,False,linear_interpolation,nearest,,,
central solar thermo hydrogen production,absolute,us,,USD,2007,h2_kilogram,day,False,linear_interpolation,nearest,,,
pipeline gas compression and fueling station,absolute,us,,USD,2014,US_gge,day,False,linear_interpolation,nearest,,,
pipeline gas LNG fueling station,absolute,us,,USD,2010,lng_gallon,day,False,linear_interpolation,nearest,,,
transmission-sited solar PV power plant,absolute,census division,,USD,2005,megawatt,,False,linear_interpolation,nearest,,EPA Markal Renewable Supply Curves,Internal Transmission Cost Adder (Weighted Average Across CF Groups)
solar thermal without energy storage power plant,absolute,census division,,USD,2005,megawatt,,False,linear_interpolation,nearest,,EPA Markal Renewable Supply Curves,Internal Transmission Cost Adder (Weighted Average Across CF Groups)
thermal biomass gasifier w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
lignocellulosic anaerobic digester w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
Fischer-Tropsch bio-diesel plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
Fast-pyrolysis bio-diesel plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
Hydrothermal liquefaction and hydrotreating w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
Hydroprocessed Renewable Oil  Plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
coal steam turbine cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
petroleum coke steam turbine cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
gas combined cycle cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
gas steam turbine cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
residual oil steam turbine cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
fossil waste steam turbine cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
biomass cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
landfill gas cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
municipal solid waste cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,False,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
gas combustion turbine cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
distillate oil combustion turbine cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
coal steam turbine IPP cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
gas combined cycle IPP cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
gas combustion turbine IPP cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
gas steam turbine IPP cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
residual oil combustion turbine IPP cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
distillate oil combustion turbine IPP cogen power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
biomass cogen IPP power plant w/ccs,absolute,us,,USD,2007,mmBtu,hour,True,linear_interpolation,nearest,,,Represent Additional Costs of CO2 Capture
